,city
OUTSIDE CITY LIMITS,27918
SALT LAKE CITY,19604
WEST VALLEY CITY,15709
MURRAY,9768
SANDY,9179
WEST JORDAN,8338
PROVO,7452
TAYLORSVILLE,7282
ST. GEORGE,6779
DRAPER,6719
OREM,6690
LEHI,6673
OGDEN,5872
SOUTH SALT LAKE,5749
LAYTON,5747
SOUTH JORDAN,4935
MIDVALE,4787
LOGAN,4512
MILLCREEK,4471
AMERICAN FORK,2987
