,Feature,Count
7,Intersection,97528
14,Night/Dark,63157
15,1 Vehicle,63100
12,Teenage Driver,52840
18,Roadway Departure,42368
13,Older Driver,33884
16,Distracted,22746
11,Commercial Vehicle,16579
0,Work Zone,13435
8,Wild Animal,11659
