,city
OUTSIDE CITY LIMITS,404
WEST VALLEY CITY,54
SALT LAKE CITY,47
OGDEN,29
TAYLORSVILLE,24
PROVO,21
LAYTON,18
SOUTH SALT LAKE,17
SANDY,15
WEST JORDAN,14
LOGAN,13
DRAPER,12
AMERICAN FORK,10
SOUTH JORDAN,9
MILLCREEK,9
ST. GEORGE,9
MURRAY,9
OREM,8
RIVERTON,8
PAYSON,7
