,county_name
SALT LAKE,261
UTAH,117
WEBER,70
DAVIS,62
WASHINGTON,46
CACHE,44
TOOELE,40
SAN JUAN,34
BOX ELDER,33
WASATCH,29
EMERY,23
GRAND,22
IRON,21
MILLARD,21
JUAB,20
SEVIER,15
SUMMIT,14
KANE,13
GARFIELD,12
UINTAH,12
OTHER,48
