,county_name
SALT LAKE,109911
UTAH,40734
DAVIS,23371
WEBER,17381
WASHINGTON,11329
CACHE,8734
BOX ELDER,5095
TOOELE,4716
SUMMIT,4679
IRON,3984
WASATCH,3096
UINTAH,1989
CARBON,1721
MILLARD,1681
SEVIER,1540
SANPETE,1522
JUAB,1444
DUCHESNE,1435
SAN JUAN,1236
GRAND,1217
OTHER,4569
